"","Fruit.length..mm.","Fruit.width..mm.","Plant.height..m.","Crop.mass..g."
"Gymnosporia_magnifolia",8.5,8.94,11,731.5
"Hasseltia_floribunda",7.67,7.51,8.75,33.87
"Hedyosmum_angustifolium",7.85,7.22,4.94,269.81
"Hedyosmum_cuatrecazanum",15.08,12.19,7.2,331.81
"Hedyosmum_goudotianum",4.49,5.18,6.11,83.44
"Hedyosmum_scabrum",10.6,8.78,6.18,95.7
"Hedyosmum_sprucei",6.18,6.52,3.69,19.29
"Hedyosmum_tepuiense",10.23,7.68,5.31,583.45
"Hedyosmum_translucidum",7.61,7.36,5.5,383.39
"Heisteria_acuminata",10.47,5.98,6,7.67
"Heliconia_subulata",9.76,9.28,2.36,17.25
"Helicostylis_elegans",18.12,20.88,19.75,13284.56
"Helicostylis_scabra",16.63,18.83,16,13980
"Helicostylis_tomentosa",19.61,22.93,23.5,12574.25
"Helicostylis_tovarensis",18.12,20.88,19.75,13284.56
"Hesperomeles_ferruginea",7.95,11.12,3.55,468.53
"Hesperomeles_obtusifolia",6.36,8.64,3.44,40.54
"Hevea_guianensis",44.54,52.24,20.71,6261.76
"Hieronyma_moritziana",4.28,4.22,10,34.38
"Hieronyma_oblonga",6.54,5,13.2,524
"Hiraea_fagifolia",5.37,6.33,7,1.07
"Homalium_guianense",11.41,11.78,8,16.8
"Hydrangea_jelskii",132.37,42.8,12,1802.05
"Ilex_nervosa",4.99,6.1,10.67,816.4
"Ilex_villosula",3.08,3.12,6.38,34.26
"Inga_acreana",62.73,20.38,9,2065.27
"Inga_punctata",62.73,20.38,9,2065.27
"Iriartea_deltoidea",24.34,21.53,21.03,41082.57
"Iryanthera_hostmannii",34.96,35.18,16,886.9
"Isertia_laevis",10.55,11.63,10.09,1100.54
"Jacaratia_digitata",74.36,24.62,16,6965.2
"Ladenbergia_oblongifolia",27.07,7.79,11.2,648.23
"Leandra_secunda",4.5,4.1,0.55,0.17
"Leonia_crassa",35.52,36.97,14.4,9359.22
"Licania_micrantha",18.19,14.89,21.5,58788.75
"Ligaria_cuneifolia",19.09,11.78,6,278.4
"Lunania_parviflora",5.43,4.48,11.33,282.27
"Lycianthes_amatitlanensis",7.85,9.07,1.13,1.95
"Maieta_guianensis",8.93,6.91,0.88,5.76
"Maieta_poeppigii",9.76,9.38,0.37,3.05
"Malanea_sarmentosa",9,5.88,6,8
"Marcgravia_crenata",13.36,13.86,16.6,203.94
"Marcgraviastrum_macrocarpum",16.58,19.79,8,2576
"Margaritopsis_cephalantha",10.98,6.52,4.33,1.63
"Margaritopsis_huallagae",4.95,5.5,0.2,0.5
"Matisia_ochrocalyx",15.95,9.7,16.5,1985.85
"Mayna_odorata",24.09,24.73,5,90.63
"Maytenus_verticillata",8.74,6.98,4.33,43.08
"Meliosma_frondosa",21.98,17.69,5.33,304.94
"Meliosma_peytonii",21.84,18.78,3.67,328.63
"Mendoncia_aspera",15.8,11.55,6.33,10.29
"Meriania_tomentosa",14.76,11.98,4.8,2201.76
"Miconia_adrieni",4.58,5.55,7,42.53
"Miconia_affinis",4.42,4.95,6.33,222.6
"Miconia_aggregata",3.48,3.56,4.25,6.34
"Miconia_alpina",5.19,5.49,6.56,123.85
"Miconia_amplexicaulis",3.44,3.6,3,0.79
"Miconia_aprica",3.08,3.2,6.97,333.68
"Miconia_asperrima",3.16,3.34,7.41,41.21
"Miconia_barbeyana",3.5,3.95,3.28,32.55
"Miconia_caerulea",4.41,4.64,3.3,25.78
"Miconia_calvescens",3.81,4.22,4.71,121.41
"Miconia_carpishana",3.3,3.76,8,107.45
"Miconia_centrodesma",3.25,3.89,2.17,11.21
"Miconia_cuneata",5.62,5.03,4,7.1
"Miconia_cyanocarpa",3.38,3.55,4.08,416.31
"Miconia_denticulata",4.3,4.32,3.83,31.36
"Miconia_egensis",1.92,2.24,6.53,76.34
"Miconia_elaeagnoides",3.19,4.16,6,4.2
"Miconia_elongata",4.17,4.61,3.95,43.49
"Miconia_emendata",3.83,5.17,1.95,3.72
"Miconia_floribunda",6.04,7.32,5,51.25
"Miconia_galactantha",5.3,5.44,5.14,80.84
"Miconia_hygrophila",3.28,3.3,4.22,18.4
"Miconia_longifolia",3.68,4.18,12.33,293.33
"Miconia_media",4.54,4.66,6.5,48.64
"Miconia_micropetala",3.25,3.79,6.31,89.5
"Miconia_minutiflora",2.22,2.5,6.6,76.08
"Miconia_modica",4.7,4.97,4,40.97
"Miconia_multispicata",5.08,6.56,4.67,75.16
"Miconia_myriantha",2.86,2.7,7.33,7.91
"Miconia_nervosa",4.64,5.07,1.69,2.91
"Miconia_phanerostila",3.86,5.96,9,287.5
"Miconia_platyphylla",5.6,6.4,1.58,15.91
"Miconia_prasina",3.62,4.43,9,64.63
"Miconia_pyrifolia",3.41,4.23,18,826.03
"Miconia_serrulata",5.36,6.29,2.34,13.51
"Miconia_spennerostachya",3.89,5.06,5.18,632.4
"Miconia_triplinervis",4.35,5.21,1.6,7.04
"Mollinedia_lanceolata",9.81,8.11,7,51.8
"Mollinedia_ovata",15.91,10.59,2.02,20.9
"Mollinedia_racemosa",10.92,9.44,6.75,77.4
"Mollinedia_repanda",10.73,7.77,4.35,17.12
"Monnina_connectisepala",5.72,4.15,3.83,3.35
"Monnina_densecomata",6.35,5.48,6.4,10.24
"Monnina_hirtella",5.42,2.07,4.67,1
"Monnina_marginata",5.96,4.21,4.84,17.41
"Morella_pubescens",4.31,3.76,6.75,168.71
"Moutabea_aculeata",17.66,16.4,9.75,253.41
"Mucuna_elliptica",122.77,21.67,7.25,143.1
"Mucuna_sloanei",122.77,21.67,7.25,143.1
"Muehlenbeckia_tamnifolia",2.84,2.47,4.78,39.08
"Myrcia_bracteata",24.12,23.42,4.86,2781.16
"Myrcia_fallax",8.1,6.15,10.71,544.57
"Myrcia_splendens",7.23,4.34,7.56,63.93
"Myrsine_coriacea",3.1,2.95,2.47,21.73
"Myrsine_dependens",4.16,3.81,3.75,135.52
"Myrteola_nummularia",5.83,7.05,1.49,14.03
"Myrteola_phylicoides",4.88,5.16,2.57,23.85
"Naucleopsis_krukovii",11.84,12.38,11,26.21
"Nectandra_cuspidata",5.59,3.81,10.67,12.85
"Neea_floribunda",13.59,10.97,26,18150
"Neea_laxa",11.8,5.8,1.77,2
"Neea_spruceana",31.29,35.14,15.25,6226.29
"Notopleura_epiphytica",5.4,5.02,8.5,8.41
"Notopleura_polyphlebia",4.94,4.79,0.28,0.49
"Notopleura_triaxillaris",4.82,4.18,0.9,1.75
"Ocotea_amazonica",9.72,9.33,9,165
"Ocotea_oblonga",23.93,18.03,4.25,21.3
"Oreopanax_capitatus",11.34,11.09,11,1161.19
"Oreopanax_microflorous",7.72,8.85,5.67,141.9
"Oreopanax_ruizii",9.5,9.69,5.5,29.53
"Orthaea_boliviensis",4.54,5.57,7.72,32.57
"Otoba_glycycarpa",34.82,31.29,26.7,4650.6
"Palicourea_amethystina",9.45,7.55,3.17,4.49
"Palicourea_buchtienii",4.3,4.24,3.4,5.42
"Palicourea_conferta",3.9,4.88,1.33,1.71
"Palicourea_grandiflora",8.04,9.26,7,32.5
"Palicourea_herrerae",4.57,4.26,1.5,4.49
"Palicourea_lineata",5.91,6.33,5.04,114.39
"Palicourea_macbridei",5.17,6.12,2.28,15.41
"Palicourea_mansoana",3.94,3.42,4.5,3.87
"Palicourea_microcarpa",6.43,6.75,2.05,16.31
"Palicourea_stipularis",4.9,3.91,6.93,7.93
"Palicourea_subspicata",4.9,6.43,1,3.5
"Palicourea_virens",5.54,6.71,2.75,12.09
"Passiflora_auriculata",13.96,14.08,6,36.02
"Passovia_stelis",7.98,5.17,5.2,112.25
"Paullinia_alata",13.48,13.36,9.13,1430.38
"Paullinia_elegans",17.6,19.59,11.25,112.75
"Peristethium_polystachyum",6.16,3.75,3.5,139.43
"Pernettya_prostrata",8.44,9.1,2,70
"Persea_buchtienii",6.15,6.73,8.17,6.57
"Persea_mutisii",7.1,7.3,7.88,212.52
"Phoradendron_chrysocladon",3.78,3.2,7,16.42
"Phoradendron_undulatum",1.99,2.48,7,3.78
"Phthirusa_pyrifolia",8.9,5.14,8,148.77
"Phytolacca_rivinoides",3.37,6.91,0.7,60.14
"Picramnia_sellowii",14.58,7.9,1.5,4.2
"Piper_arboreum",1.86,1.86,3.08,4243.04
"Piper_augustum",2,2,1.75,2692.71
"Piper_costatum",2,2,1.3,471.6
"Piper_crassinervium",2,2,4.32,710.03
"Piper_lanceaefolium",2,2,3.29,170.51
"Piper_machupicchuense",1,1,5,57.6
"Piper_obliquum",1.86,1.86,3.08,1747.49
"Piper_pallididorsum",2,2,5,6590.89
"Piper_positum",1.86,1.86,3.08,1747.49
"Pleurothyrium_trianae",13.51,10.74,10.78,574.5
"Podocarpus_oleifolius",10.12,4.48,10.36,135.43
"Pourouma_bicolor",16.78,16.12,16.5,1415.86
"Pourouma_cecropiifolia",19.48,11.12,28,3517.5
"Pourouma_guianensis",13.65,8.66,16.33,2617.83
"Pourouma_tomentosa",20.32,15.6,25,882
"Pouteria_torta",25.96,29.47,10.33,244.24
"Protium_guianense",11.14,7.83,3.25,10.18
"Protium_sagotianum",31.36,28.75,16,701.25
"Protium_spruceanum",21.56,22.42,11.42,4156.83
"Prunus_huantensis",9.18,7.36,10.92,416.85
"Prunus_integrifolia",9.18,7.36,10.92,416.85
"Psammisia_coarctata",11.56,14.01,5.98,212.73
"Psychotria_brachiata",4.48,3.67,3.75,2.48
"Psychotria_buchtienii",7.11,8.67,1.5,14.97
"Psychotria_conephoroides",11.4,10.77,4.39,47.18
"Psychotria_herzogii",4.38,5.28,1,2.22
"Psychotria_hospitalis",9.62,6.4,5.1,17.53
"Psychotria_limitanea",3.55,4.52,0.97,3.09
"Psychotria_longicuspis",4.66,4.84,1.47,1.19
"Psychotria_lupulina",5.04,4.94,2.46,4.14
"Psychotria_microbotrys",3.98,4.97,1.14,1.35
"Psychotria_officinalis",6.99,7.64,1.46,3.57
"Psychotria_racemosa",3.16,3.17,1.03,1.17
"Psychotria_reticulata",4.42,4.87,6,16.1
"Psychotria_schunkei",8.37,6.22,4,22.11
"Psychotria_trichotoma",8.33,5.67,5.47,36.87
"Psychotria_viridis",5.15,5.71,3.5,6.3
"Quararibea_cordata",53.95,51.13,34.67,15526.86
"Quararibea_wittii",16.39,18.16,13.67,222.44
"Quiina_amazonica",20.11,19.06,14,975
"Randia_ferox",23.08,21.06,4.5,1683.5
"Rauvolfia_leptophylla",18.67,11.19,9,665
"Ribes_bolivianum",7.39,6.31,5.5,51.56
"Rollinia_chrysocarpa",29.4,15.7,7,4.3
"Ronabea_latifolia",7.13,4.41,1.8,2.46
"Roupala_monosperma",5.2,7,5,37.2
"Rubus_adenotrichos",14.36,12.29,1.84,30.02
"Rubus_floribundus",10.2,9.93,5.35,850.96
"Rubus_roseus",22.82,19.06,3.07,110.04
"Rudgea_loretensis",12.07,8.66,1.5,10.93
"Rudgea_poeppigii",8.09,8.44,1.42,2.55
"Rudgea_sessiliflora",6.76,6.49,0.47,1.13
"Rudgea_verticillata",8.53,8.16,2.35,7.72
"Ruyschia_pavonii",6.08,6.68,12.67,172.33
"Sabicea_panamensis",6.29,7.18,4.5,14.61
"Sapium_glandulosum",8.43,6.33,11.5,1682
"Saracha_punctata",10.97,11.34,4.78,32.91
"Sarcopera_anomala",3.5,3.18,4.67,22.75
"Saurauia_peruviana",5.36,6.41,3.25,86.3
"Schefflera_acuminata",17.85,19.55,7,112.5
"Schefflera_kuntzei",3.07,2.98,10.33,40.67
"Schefflera_mathewsii",8.92,5.16,7.5,1951.25
"Schefflera_patula",4.68,4.98,6.09,203.36
"Senefeldera_inclinata",17.04,20.8,11.7,694.49
"Senna_herzogii",72.16,5.41,5,48.12
"Senna_multijuga",77.8,5.01,8.33,45.17
"Siparuna_thecaphora",14.61,15.8,3.67,65.42
"Siparuna_tomentosa",14.21,15.94,3.88,171.69
"Siphonandra_elliptica",7.52,4.95,3.45,14.22
"Sloanea_fragrans",49.48,33.54,3.58,102.33
"Sloanea_gracilis",19.65,12.5,10,653.25
"Smilax_domingensis",10.73,11.65,7.63,92.52
"Solanum_actaeibotrys",10.98,13,6.06,193.65
"Solanum_acuminatum",9.37,9.58,4,5.8
"Solanum_amblophyllum",12.2,11.17,2.86,28.16
"Solanum_americanum",6.44,6.66,1.37,108.45
"Solanum_dimorphandrum",14.04,9.93,2,7.23
"Solanum_leucopogon",14.86,16.1,5.33,18.49
"Solanum_lindenii",13.31,11.48,4.83,20.47
"Solanum_nutans",11.2,11.62,5.52,60.73
"Solanum_obliquum",44.26,29.55,4,619
"Solanum_schlechtendalianum",9.03,8.94,3.17,142.74
"Solanum_scuticum",16.42,15.87,5.67,740.54
"Solanum_ternatum",15.93,13.58,2.33,43.44
"Souroubea_guianensis",8.1,9.88,18.17,2155.33
"Souroubea_pachyphylla",5.22,3.89,10,105
"Spirotheca_rosea",153.8,38.3,20,45000
"Stylogyne_serpentina",6.14,6.95,6,10
"Styrax_foveolaria",8.85,6.48,9.4,264.04
"Swartzia_myrtifolia",49.5,27.7,10.6,920.4
"Symplocos_arechea",19.76,12.6,9.82,3650.6
"Symplocos_bogotensis",17.67,12.15,7.17,6922.67
"Symplocos_fimbriata",22.54,16.3,5.25,50.19
"Symplocos_psiloclada",17.99,10.1,7.06,84.81
"Symplocos_quitensis",15.21,11.39,8.4,223.71
"Symplocos_reflexa",29.17,18.43,6.48,415.38
"Tabernaemontana_cymosa",38.53,23.46,27,9068
"Tabernaemontana_sananho",35.03,28.79,6.75,95.29
